date,likes,talking_about_count,checkins,found
29-Mar-15,229050,2936,0,yes
30-Mar-15,229129,2936,0,yes
31-Mar-15,229249,2410,0,yes
01-Apr-15,229456,2310,0,no
02-Apr-15,229510,2154,0,no
03-Apr-15,229699,1871,0,yes
04-Apr-15,230356,1871,0,yes
05-Apr-15,230711,1748,0,yes
06-Apr-15,231824,1236,0,yes
07-Apr-15,231878,1758,0,yes
08-Apr-15,231900,1756,0,yes
09-Apr-15,231926,1486,0,yes
10-Apr-15,231985,1598,0,no
11-Apr-15,232000,1569,0,no
12-Apr-15,232123,1589,0,no
13-Apr-15,232235,1589,0,no
14-Apr-15,232756,1589,0,no
15-Apr-15,233326,1589,0,no
16-Apr-15,233426,1589,0,no
17-Apr-15,233569,1698,0,no
18-Apr-15,233701,1236,0,no
19-Apr-15,233799,1256,0,no
20-Apr-15,233878,2749,0,no